************************************************
*                                              *
*                     imies                    *
*                                              *
*         Mie's calculations for any PSD       *
*     definition, particle type, wavelength    *
*            and relative humidity             *
*                                              *
*     Martin Aube 2000                         *
*                                              *
************************************************
 
 Experiment directory /home/martin/AODSEM/Examples/imies
 Executing intermie...
 Root name for input-output files ?(MAX 40 CHAR):
 Extensions .mie (input file), .mie.out (output file) and  .mie.psd (psd file)
 will be add to the root name.
 Reading input file:test.mie.         ..
 Opening output file:test.mie.out...
 ... Termine.
 Ouverture du fichier psd:test.mie.psd...
 ...Done.
 Reading psd file:test.mie.psd.      ..
 ...Done.


 In how many Sub-bins do you wish to split PSD? (MAX.   5000., MIN 1334)
 Closing psd file.
 Particle shape:
 1)  SPHERE                    EXACT
 Defining size increment...
 ...Done
 Defining size distribution...
 |----------------------------|
 |      SIZE DISTRIBUTION     |
 |-------------|--------------|
 | SIZE PARAM. | PSD          |
 |       95.176|      0.000056|
 |       95.310|      0.000056|
 |       95.443|      0.000056|
 |       95.576|      0.000055|
 |       95.709|      0.000055|
 |       95.843|      0.000055|
 |       95.976|      0.000054|
 |       96.109|      0.000054|
 |       96.243|      0.000054|
 |       96.376|      0.000053|
 |       96.509|      0.000053|
 |       96.643|      0.000053|
 |       96.776|      0.000052|
 |       96.909|      0.000052|
 |       97.042|      0.000052|
 |       97.176|      0.000051|
 |       97.309|      0.000051|
 |       97.442|      0.000051|
 |       97.576|      0.000051|
 |       97.709|      0.000050|
 |       97.842|      0.000050|
 |       97.976|      0.000050|
 |       98.109|      0.000049|
 |       98.242|      0.000049|
 |       98.375|      0.000049|
 |       98.509|      0.000049|
 |       98.642|      0.000048|
 |       98.775|      0.000048|
 |       98.909|      0.000048|
 |       99.042|      0.000047|
 |       99.175|      0.000047|
 |       99.309|      0.000047|
 |       99.442|      0.000047|
 |       99.575|      0.000046|
 |       99.708|      0.000046|
 |       99.842|      0.000046|
 |       99.975|      0.000046|
 |      100.108|      0.000045|
 |      100.242|      0.000045|
 |      100.375|      0.000045|
 |      100.508|      0.000045|
 |      100.642|      0.000044|
 |      100.775|      0.000044|
 |      100.908|      0.000044|
 |      101.041|      0.000044|
 |      101.175|      0.000043|
 |      101.308|      0.000043|
 |      101.441|      0.000043|
 |      101.575|      0.000043|
 |      101.708|      0.000042|
 |      101.841|      0.000042|
 |      101.975|      0.000042|
 |      102.108|      0.000042|
 |      102.241|      0.000041|
 |      102.374|      0.000041|
 |      102.508|      0.000041|
 |      102.641|      0.000041|
 |      102.774|      0.000040|
 |      102.908|      0.000040|
 |      103.041|      0.000040|
 |      103.174|      0.000040|
 |      103.308|      0.000040|
 |      103.441|      0.000039|
 |      103.574|      0.000039|
 |      103.707|      0.000039|
 |      103.841|      0.000039|
 |      103.974|      0.000038|
 |      104.107|      0.000038|
 |      104.241|      0.000038|
 |      104.374|      0.000038|
 |      104.507|      0.000038|
 |      104.641|      0.000037|
 |      104.774|      0.000037|
 |      104.907|      0.000037|
 |      105.040|      0.000037|
 |      105.174|      0.000037|
 |      105.307|      0.000036|
 |      105.440|      0.000036|
 |      105.574|      0.000036|
 |      105.707|      0.000036|
 |      105.840|      0.000036|
 |      105.974|      0.000035|
 |      106.107|      0.000035|
 |      106.240|      0.000035|
 |      106.373|      0.000035|
 |      106.507|      0.000035|
 |      106.640|      0.000034|
 |      106.773|      0.000034|
 |      106.907|      0.000034|
 |      107.040|      0.000034|
 |      107.173|      0.000034|
 |      107.307|      0.000034|
 |      107.440|      0.000033|
 |      107.573|      0.000033|
 |      107.707|      0.000033|
 |      107.840|      0.000033|
 |      107.973|      0.000033|
 |      108.106|      0.000032|
 |      108.240|      0.000032|
 |      108.373|      0.000032|
 |      108.506|      0.000032|
 |      108.640|      0.000032|
 |      108.773|      0.000032|
 |      108.906|      0.000031|
 |      109.040|      0.000031|
 |      109.173|      0.000031|
 |      109.306|      0.000031|
 |      109.439|      0.000031|
 |      109.573|      0.000031|
 |      109.706|      0.000030|
 |      109.839|      0.000030|
 |      109.973|      0.000030|
 |      110.106|      0.000030|
 |      110.239|      0.000030|
 |      110.373|      0.000030|
 |      110.506|      0.000029|
 |      110.639|      0.000029|
 |      110.772|      0.000029|
 |      110.906|      0.000029|
 |      111.039|      0.000029|
 |      111.172|      0.000029|
 |      111.306|      0.000029|
 |      111.439|      0.000028|
 |      111.572|      0.000028|
 |      111.706|      0.000028|
