Year Month Day Latitude Longitude Size
1961 8 4 50.8 -124.9 825.50
1961 8 12 52 -123 2654.70
1961 7 18 50.6175 -71.1014 4910.56
1961 7 18 52.2126 -68.8037 372.97
1961 4 19 52.394 -100.822 291.50
1961 6 4 54.1066 -119.2267 388.51
1961 8 23 46 -60.32 202.00
1961 6 15 56.033 -98.4 8097.17
1961 8 5 59.8 -124.2 13354.60
1961 5 22 51.986 -99.939 789.47
1961 8 16 51.637 -101.077 21052.63
1961 7 24 53.616 -101.703 202.00
1961 8 16 51.188 -99.413 1813.77
1961 7 26 52.4 -126.3 1950.50
1961 6 17 51.7 -124.3 6082.40
1961 8 10 50.4 -121.4 323.70
