 From deresol.f
 Units of 1E+4 part/m^3
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  6
 1421 752 0 0 180 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  7
 1222 647 0 0 155 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  8
 1022 541 0 0 130 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  1
 314 170 0 0 42 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  2
 288 156 0 0 39 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  3
 263 142 0 0 36 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  4
 237 128 0 0 32 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  5
 211 114 0 0 29 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  6
 185 100 0 0 25 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  7
 159 86 0 0 21 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  8
 133 72 0 0 18 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  6 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  1
 21 12 0 0 3 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  2
 19 11 0 0 3 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  3
 18 10 0 0 3 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  4
 16 9 0 0 2 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  5
 14 8 0 0 2 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  6
 12 7 0 0 2 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  7
 11 6 0 0 1 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  8
 9 5 0 0 1 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  7 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  1
 2 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  2
 2 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  3
 1 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  4
 1 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  5
 1 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  6
 1 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  7
 1 1 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  8
 1 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  8 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  1
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  2
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  3
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  4
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  5
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  6
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  7
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  8
 0 0 0 0 0 0
